index,beer_name,beer_abv,beer_ibu,beer_style
475,Kilt Lifter Scottish Ale,8.0,0,Scotch Ale
476,Wee Heavy Winter Ale,0.0,0,Scotch Ale
477,Cow Palace Scotch Ale,6.8,0,Scotch Ale
478,Kilt Lifter Scotch Ale,0.0,0,Scotch Ale
479,Wee Heavy,9.5,0,Scotch Ale
480,Wee Heavier,9.5,0,Scotch Ale
481,Dirty Bastard Scotch Style Ale,8.5,0,Scotch Ale
482,Wee Heavy,6.5,0,Scotch Ale
483,Wee Beast,7.0,0,Scotch Ale
484,Plaid Bastard,8.0,0,Scotch Ale
485,Loyal Duke Scotch Ale,8.6,0,Scotch Ale
486,Hope & King Scotch Ale,6.0,0,Scotch Ale
487,Blackfriar,7.0,0,Scotch Ale
488,120 Shilling Scotch Ale,0.0,0,Scotch Ale
489,Scottish Ale,5.8,0,Scotch Ale
490,Scottish Ale,0.0,0,Scotch Ale
491,Stone of Scone Scotch Ale,0.0,0,Scotch Ale
492,Scotch Ale,0.0,0,Scotch Ale
493,Heritage Scottish Ale,0.0,0,Scotch Ale
494,Skullsplitter Ale,8.5,0.0,Scotch Ale
495,Wee Heavy,0.0,0.0,Scotch Ale
496,Strong Scotch Ale,8.6,0.0,Scotch Ale
497,Wee Heavy,0.0,0.0,Scotch Ale
498,Holiday Scottish Strong Ale,0.0,0.0,Scotch Ale
499,"Double Eagle \High-Test\"" Scotch Ale""",8.0,0.0,Scotch Ale
500,Tilted Kilt Ale,0.0,0.0,Scotch Ale
501,Scotch brand Ale,7.2,0.0,Scotch Ale
502,Jolly Scot Scottish Ale,5.2,0.0,Scotch Ale
503,Samuel Adams Scotch Ale,5.4,0.0,Scotch Ale
504,Scotch Ale,6.0,0.0,Scotch Ale
505,Dundee Scotch Ale,6.5,0.0,Scotch Ale
506,Kilt Lifter  Scottish-Style Ale,6.0,0.0,Scotch Ale
507,Claymore Scotch Ale,0.0,0.0,Scotch Ale
508,The Livery Kilt Tilter,9.0,0.0,Scotch Ale
509,Sky Pilot Scotch Ale,6.5,0.0,Scotch Ale
510,Big Sound Scotch Ale,8.5,0.0,Scotch Ale
511,Outta Kilter Wee-Heavy Scotch Red Ale,8.2,0.0,Scotch Ale
512,Iron Thistle,8.0,0.0,Scotch Ale
513,Full Moon Winter Ale,5.6,0,Other Belgian-Style Ales
514,Calabaza Blanca,4.8,0,Other Belgian-Style Ales
515,Grotten Flemish Ale,7.7,0,Other Belgian-Style Ales
516,Delirium NoÃ«l,10.0,0,Other Belgian-Style Ales
517,Urthel Hop-It,9.5,0,Other Belgian-Style Ales
518,Orval Trappist Ale,6.9,0,Other Belgian-Style Ales
519,Terrible,10.5,0,Other Belgian-Style Ales
520,Blonde,6.0,0,Other Belgian-Style Ales
521,Celis White,3.9,0,Other Belgian-Style Ales
522,Salvation,9.0,0,Other Belgian-Style Ales
523,Dubbel Dragon,7.2,0,Other Belgian-Style Ales
524,1554 Enlightened Black Ale,5.5,0,Other Belgian-Style Ales
525,1837,7.0,0,Other Belgian-Style Ales
526,Abbey Roade Belgian Ale,6.4,0.0,Other Belgian-Style Ales
527,V-12,12.0,0.0,Other Belgian-Style Ales
528,V-Saison,7.5,0.0,Other Belgian-Style Ales
529,Farmhouse Summer Ale,0.0,0.0,Other Belgian-Style Ales
530,Grand Cru Winter Reserve,7.2,0.0,Other Belgian-Style Ales
531,Holy Sheet,9.0,0.0,Other Belgian-Style Ales
532,Abbey Normal Ale,0.0,0.0,Other Belgian-Style Ales
533,Barrel-Aged Blind Date Ale,7.5,0.0,Other Belgian-Style Ales
534,Richbrau Abbey-Style Ale,7.0,0.0,Other Belgian-Style Ales
535,Abbey IPA,7.0,0.0,Other Belgian-Style Ales
536,Dubble Fantasy,5.0,0.0,Other Belgian-Style Ales
537,Capital Prairie Gold,0.0,0.0,Other Belgian-Style Ales
538,Descent Imperial Abbey Ale,8.3,0.0,Other Belgian-Style Ales
539,Great Divide Belgica,7.2,0.0,Other Belgian-Style Ales
540,Head Trip,10.5,0.0,Other Belgian-Style Ales
541,Scratch #21 2009 - Artisan Ale,7.8,0.0,Other Belgian-Style Ales
542,Gouden Carolus Hopsinjoor,8.0,0.0,Other Belgian-Style Ales
543,Georgi-Belgique,6.4,0.0,Other Belgian-Style Ales
544,Abbaye de Saint-Martin Triple,9.0,0.0,Other Belgian-Style Ales
545,Brasserie De Brunehaut Bio BiÃ¨re Blonde (Organic),6.5,0.0,Other Belgian-Style Ales
546,Abbaye de St Amand,7.0,0.0,Other Belgian-Style Ales
547,3767 Belgian-style IPA with Brett,8.0,0.0,Other Belgian-Style Ales
548,Raging Bitch Belgian IPA,8.3,0.0,Other Belgian-Style Ales
549,Mayhem Belgian-style Double IPA,8.2,0.0,Other Belgian-Style Ales
550,Hop Master's Abbey Belgian-style Double IPA,8.5,0.0,Other Belgian-Style Ales
551,Odell IPA,7.0,0,American-Style India Pale Ale
552,Furious Beer,6.0,0,American-Style India Pale Ale
553,Warrior IPA,6.6,0,American-Style India Pale Ale
554,Bent Nail IPA,0.0,0,American-Style India Pale Ale
555,Woody Organic IPA,6.2,0,American-Style India Pale Ale
556,Duke IPA,5.1,0,American-Style India Pale Ale
557,IPA,5.5,0,American-Style India Pale Ale
558,Old Princeton Landing IPA,6.1,0,American-Style India Pale Ale
559,Blur IPA,0.0,0,American-Style India Pale Ale
560,Casey Jones Imperial IPA,7.25,0,American-Style India Pale Ale
561,IPA,6.0,0,American-Style India Pale Ale
562,Train Wreck IPA,0.0,0,American-Style India Pale Ale
563,Double IPA,0.0,0,American-Style India Pale Ale
564,India Pale Ale (IPA),0.0,0,American-Style India Pale Ale
565,471 Double IPA,9.2,0,American-Style India Pale Ale
566,Hercules Double IPA,9.1,0,American-Style India Pale Ale
567,Inversion IPA,6.8,0,American-Style India Pale Ale
568,Red Racer India Pale Ale,6.5,0,American-Style India Pale Ale
569,Yippee IPA,0.0,0,American-Style India Pale Ale
570,IPA,0.0,0,American-Style India Pale Ale
571,Firkin IPA,0.0,0,American-Style India Pale Ale
572,Scarlet Fire IPA,0.0,0,American-Style India Pale Ale
573,The Immortal IPA,6.3,0,American-Style India Pale Ale
574,IPA,6.2,0,American-Style India Pale Ale
575,Gale Force IPA,5.6,0,American-Style India Pale Ale
576,Organic India Pale Ale,6.7,0,American-Style India Pale Ale
577,Thunder Head IPA,6.7,0,American-Style India Pale Ale
578,Dry Hopped IPA,0.0,0,American-Style India Pale Ale
579,IPA,5.5,0,American-Style India Pale Ale
580,Rat City IPA,0.0,0,American-Style India Pale Ale
581,MoJo India Pale Ale,6.8,0,American-Style India Pale Ale
582,Stone IPA,6.9,0,American-Style India Pale Ale
583,Slip Knot Imperial IPA 2006,7.8,0,American-Style India Pale Ale
584,Bottleworks IPA,8.5,0,American-Style India Pale Ale
585,9th Anniversary IPA,7.5,0,American-Style India Pale Ale
586,Chehalem Mountain IPA,0.0,0,American-Style India Pale Ale
587,Mongoose IPA,0.0,0,American-Style India Pale Ale
588,Big Daddy IPA,6.5,0,American-Style India Pale Ale
589,Titan IPA,6.8,0,American-Style India Pale Ale
590,Quail Springs IPA,6.0,0,American-Style India Pale Ale
591,IPA,5.5,0,American-Style India Pale Ale
592,Double IPA,6.8,0,American-Style India Pale Ale
593,IPA,0.0,0,American-Style India Pale Ale
594,Anniversary IPA Ahtanum,7.2,0,American-Style India Pale Ale
595,Anniversary IPA Glacier,7.2,0,American-Style India Pale Ale
596,Route 113 IPA,7.2,0,American-Style India Pale Ale
597,East Kent IPA,6.6,0,American-Style India Pale Ale
598,Kasota IPA,0.0,0,American-Style India Pale Ale
599,El NiÃ±o IPA,0.0,0,American-Style India Pale Ale
600,IPA,6.7,0,American-Style India Pale Ale
601,Hoppy Hour IPA,0.0,0,American-Style India Pale Ale
602,IPA,0.0,0,American-Style India Pale Ale
603,Old Town IPA,0.0,0,American-Style India Pale Ale
604,Billings IPA,0.0,0,American-Style India Pale Ale
605,Eager Beaver IPA,0.0,0,American-Style India Pale Ale
606,IPA,6.9,0,American-Style India Pale Ale
607,Stockyard IPA,0.0,0,American-Style India Pale Ale
608,Masala Mama IPA,5.9,0,American-Style India Pale Ale
609,Hop Maniac IPA,6.5,0,American-Style India Pale Ale
610,Island Pale Ale (IPA),7.0,0,American-Style India Pale Ale
611,Friars IPA,0.0,0,American-Style India Pale Ale
612,Ding Ding Double IPA,0.0,0,American-Style India Pale Ale
613,Torrey Pines IPA,6.8,0,American-Style India Pale Ale
614,Frank Double IPA,8.5,0,American-Style India Pale Ale
615,Paddle Me IPA,0.0,0,American-Style India Pale Ale
616,Bridgeport India Pale Ale,5.5,0,American-Style India Pale Ale
617,7th Anniversary IPA,7.7,0,American-Style India Pale Ale
618,Full Tilt IPA,0.0,0,American-Style India Pale Ale
619,Sherwood Forest IPA,6.0,0,American-Style India Pale Ale
620,Centennial IPA,7.2,0,American-Style India Pale Ale
621,Evolutionary IPA,0.0,0,American-Style India Pale Ale
622,Bitter Woman From Hell Extra IPA,0.0,0,American-Style India Pale Ale
623,Fuggles IPA,0.0,0,American-Style India Pale Ale
624,Imperial IPA,0.0,0,American-Style India Pale Ale
625,Racer 5 IPA,7.0,0,American-Style India Pale Ale
626,Henry Hudson IPA,0.0,0,American-Style India Pale Ale
627,IPA,7.25,0,American-Style India Pale Ale
628,IPA,0.0,0,American-Style India Pale Ale
629,East India Pale Ale,6.8,0,American-Style India Pale Ale
630,IPA,0.0,0,American-Style India Pale Ale
631,Duke of Wellington IPA,0.0,0,American-Style India Pale Ale
632,Trafalgar IPA,6.0,0,American-Style India Pale Ale
633,Jamaica Brand Sunset IPA,0.0,0,American-Style India Pale Ale
634,East India IPA,0.0,0,American-Style India Pale Ale
635,Paddywhack IPA,6.5,0.0,American-Style India Pale Ale
636,Bombay by Boat IPA,0.0,0.0,American-Style India Pale Ale
637,Hornet Tail IPA,0.0,0.0,American-Style India Pale Ale
638,Bighorn IPA,0.0,0.0,American-Style India Pale Ale
639,Kuaipa,0.0,0.0,American-Style India Pale Ale
640,Davie Poplar IPA,0.0,0.0,American-Style India Pale Ale
641,IPA,0.0,0.0,American-Style India Pale Ale
642,Hoppy Face Amber Ale,5.5,0.0,American-Style India Pale Ale
643,Thirsty IPA,0.0,0.0,American-Style India Pale Ale
644,IPA,0.0,0.0,American-Style India Pale Ale
645,Atta Boy IPA,7.3,0.0,American-Style India Pale Ale
646,IPA Pale Ale,0.0,0.0,American-Style India Pale Ale
647,IPA,0.0,0.0,American-Style India Pale Ale
648,Schlafly IPA,0.0,0.0,American-Style India Pale Ale
649,5 C's IPA,6.5,0.0,American-Style India Pale Ale
650,Snake Dog IPA,7.1,0.0,American-Style India Pale Ale
651,IPA,0.0,0.0,American-Style India Pale Ale
652,Mad Hatter IPA,5.8,0.0,American-Style India Pale Ale
653,Hoppy Trails India Pale Ale,6.2,0.0,American-Style India Pale Ale
654,Lucky Kat,5.8,0.0,American-Style India Pale Ale
655,Hop Devil India Pale Ale,6.7,0.0,American-Style India Pale Ale
656,Hop Hog IPA,7.9,0.0,American-Style India Pale Ale
657,Wipeout IPA,7.0,0.0,American-Style India Pale Ale
658,10 Squared (10Â²),10.0,0.0,American-Style India Pale Ale
659,Hops Infusion,6.2,0.0,American-Style India Pale Ale
660,HIPA,6.8,0.0,American-Style India Pale Ale
661,60 Minute IPA,6.0,0.0,American-Style India Pale Ale
662,HopFish IPA,6.2,0.0,American-Style India Pale Ale
663,Newbold IPA,6.5,0.0,American-Style India Pale Ale
664,21A IPA,7.2,0.0,American-Style India Pale Ale
665,Loose Cannon Hop3 Ale,7.25,0.0,American-Style India Pale Ale
666,Ipswich IPA,6.3,0.0,American-Style India Pale Ale
667,India Pale Ale,6.3,0.0,American-Style India Pale Ale
668,Southern Tier IPA,6.5,0.0,American-Style India Pale Ale
669,Blind Pig IPA,6.0,0.0,American-Style India Pale Ale
670,Hop Knot IPA,6.0,0.0,American-Style India Pale Ale
671,The Raj India Pale Ale,6.9,0.0,American-Style India Pale Ale
672,Alaskan IPA,6.2,0.0,American-Style India Pale Ale
673,Climax IPA,6.0,0.0,American-Style India Pale Ale
674,Wild Devil Ale,6.7,0.0,American-Style India Pale Ale
675,Lakefront IPA,0.0,0.0,American-Style India Pale Ale
676,Richbrau India Pale Ale,6.2,0.0,American-Style India Pale Ale
677,Horny Toad IPA,7.1,0.0,American-Style India Pale Ale
678,"India Red Ale (The \IRA\"")""",6.8,0.0,American-Style India Pale Ale
679,Hop Lava,7.0,0.0,American-Style India Pale Ale
680,Hopworks IPA,6.6,0.0,American-Style India Pale Ale
681,Renegade IPA,5.8,0.0,American-Style India Pale Ale
682,Liberation Ale,6.0,0.0,American-Style India Pale Ale
683,Single-Wide I.P.A.,5.7,0.0,American-Style India Pale Ale
684,Victorian IPA,6.2,0.0,American-Style India Pale Ale
685,Dundee India Pale Ale,6.3,0.0,American-Style India Pale Ale
686,Elissa IPA,6.6,0.0,American-Style India Pale Ale
687,4 Seasons IPA,8.0,0.0,American-Style India Pale Ale
688,Dead Man Walkin' IPA,6.4,0.0,American-Style India Pale Ale
689,McGilligans IPA,6.25,0.0,American-Style India Pale Ale
690,555 IPA,6.25,0.0,American-Style India Pale Ale
691,Big Swell IPA,6.2,0.0,American-Style India Pale Ale
692,75 Minute IPA,7.5,0.0,American-Style India Pale Ale
693,Six Rivers IPA,7.2,0.0,American-Style India Pale Ale
694,Midwest IPA,7.2,0.0,American-Style India Pale Ale
695,Goose Island Midway IPA,6.8,0.0,American-Style India Pale Ale
696,Crooked Tree IPA,6.0,0.0,American-Style India Pale Ale
697,Tumbleweed IPA,5.7,0.0,American-Style India Pale Ale
698,Broodoo,5.5,0.0,American-Style India Pale Ale
699,Union Jack India Pale Ale,7.5,0.0,American-Style India Pale Ale
700,Standing Stone India Pale Ale,0.0,0.0,American-Style India Pale Ale
701,Bhagwan's Best IPA,5.0,0.0,American-Style India Pale Ale
702,Cottonwood Endo India Pale Ale,5.9,0.0,American-Style India Pale Ale
703,Second Street IPA,6.0,0.0,American-Style India Pale Ale
704,South Hampton IPA,6.2,0.0,American-Style India Pale Ale
705,Tailgate IPA,6.5,0.0,American-Style India Pale Ale
706,Fiesta IPA,6.3,0.0,American-Style India Pale Ale
707,Sculpin India Pale Ale,7.0,0.0,American-Style India Pale Ale
708,Flo IPA,0.0,0.0,American-Style India Pale Ale
709,Ponderosa IPA,0.0,0.0,American-Style India Pale Ale
710,Lake Placid Frostbite Ale,6.8,0.0,American-Style India Pale Ale
711,Shiva IPA,5.3,0.0,American-Style India Pale Ale
712,Fairweather IPA,6.1,0.0,American-Style India Pale Ale
713,Red Chair IPA,6.4,0.0,American-Style India Pale Ale
714,50 CAT IPA,0.0,0.0,American-Style India Pale Ale
715,Rock Art IPA,0.0,0.0,American-Style India Pale Ale
716,Big Hop Harvest Ale,7.4,0.0,American-Style India Pale Ale
717,Old Salt IPA,5.8,0.0,American-Style India Pale Ale
718,Punk IPA,6.0,0.0,American-Style India Pale Ale
719,Hopsecutioner,7.2,0.0,American-Style India Pale Ale
720,Jai Alai IPA,7.5,0.0,American-Style India Pale Ale
721,Modus Hoperandi,6.8,0.0,American-Style India Pale Ale
722,JoBoy's IPA,6.5,0.0,American-Style India Pale Ale
723,(512) IPA,7.0,0.0,American-Style India Pale Ale
724,Lilja's Hop Nest Monster,0.0,0.0,American-Style India Pale Ale
725,Weyerbacher India,7.2,0.0,American-Style India Pale Ale
726,Maximus,7.5,0.0,American-Style India Pale Ale
727,Hoppin' To Heaven IPA,6.8,0.0,American-Style India Pale Ale
728,Duet,7.0,0.0,American-Style India Pale Ale
729,Nelson,7.0,0.0,American-Style India Pale Ale
730,Humidor Series Jai Alai Cedar Aged India Pale Ale,7.5,0.0,American-Style India Pale Ale
731,Marble India Pale Ale,6.2,0.0,American-Style India Pale Ale
732,Hopportunity Knocks Ale,6.8,0.0,American-Style India Pale Ale
733,Simcoe Single Hop IPA,6.9,0.0,American-Style India Pale Ale
734,IPA Series (Simcoe),0.0,0.0,American-Style India Pale Ale
735,IPA Series (Zeus),0.0,0.0,American-Style India Pale Ale
736,IPA Series (Horizon),0.0,0.0,American-Style India Pale Ale
737,Scratch Beer 31 - 2010 Citra Of Brotherly Love IPA,7.4,0.0,American-Style India Pale Ale
738,Oasis,7.2,93.0,American-Style India Pale Ale
739,Little Scrapper IPA,6.0,0.0,American-Style India Pale Ale
740,Firewater Indian Pale Ale,0.0,0.0,American-Style India Pale Ale
741,Ornery Amber Lager,0.0,0,American-Style Lager
742,Goosinator Smoked Doppelbock 2007,0.0,0,American-Style Lager
743,Whitetail Wheat,0.0,0,American-Style Lager
744,Yeti Special Export,7.0,0,American-Style Lager
745,Smoked Hefe,0.0,0,American-Style Lager
746,Northern Light Lager,4.4,0,American-Style Lager
747,Double Pilsner,8.1,0,American-Style Lager
748,Creamy Dark,4.9,0,American-Style Lager
749,Sapporo Premium Beer,0.0,0,American-Style Lager
750,New,4.6,0,American-Style Lager
751,Amber Light,0.0,0,American-Style Lager
752,New World Wheat,0.0,0,American-Style Lager
753,Brew Ribbon,0.0,0,American-Style Lager
754,Chazz Cat Rye,4.5,0,American-Style Lager
755,Honey Bunny Blonde Ale,5.8,0,American-Style Lager
756,Warka Strong,7.0,0,American-Style Lager
757,Kristall Weizen,0.0,0,American-Style Lager
758,Island Wheat,0.0,0,American-Style Lager
759,Boys of Summer Wheat,3.5,0,American-Style Lager
760,Hefeweizen,0.0,0,American-Style Lager
761,Hefe Proper Ale,0.0,0,American-Style Lager
762,Wildcat Wheat,0.0,0,American-Style Lager
763,Cerveza Diablo,7.5,0,American-Style Lager
764,Demolition,8.0,0,American-Style Lager
765,Rubia,6.0,0,American-Style Lager
766,Session Premium Lager,5.1,0,American-Style Lager
767,Mocny BOSS / BOSS Beer,8.1,0,American-Style Lager
768,Lager,4.0,0,American-Style Lager
769,Aecht Schlenkerla Rauchbier Weizen,0.0,0,American-Style Lager
770,Rotgold-Pils,4.9,0,American-Style Lager
771,Green Valley Wild Hop Lager,0.0,0,American-Style Lager
772,Original Ittinger KlosterbrÃ¤u,0.0,0,American-Style Lager
773,Honey Brown Ale,6.0,0,American-Style Lager
774,Single-Malt-Bier,0.0,0,American-Style Lager
775,Spezial,0.0,0,American-Style Lager
776,Kupfer,0.0,0,American-Style Lager
777,Springboard Lager,0.0,0,American-Style Lager
778,Light Lager,0.0,0,American-Style Lager
779,Lager,0.0,0,American-Style Lager
780,Vienna Lager,0.0,0,American-Style Lager
781,Special Lager,0.0,0,American-Style Lager
782,Baden Powell Cream Ale,0.0,0,American-Style Lager
783,Dominion Lager,0.0,0,American-Style Lager
784,Tropical Lager,0.0,0,American-Style Lager
785,Honey Brown,0.0,0,American-Style Lager
786,Premium Gold,0.0,0,American-Style Lager
787,Cream Ale,4.8,0,American-Style Lager
788,Island Lager,5.0,0,American-Style Lager
789,Kitsilano Maple Cream Ale,5.0,0,American-Style Lager
790,Cypress Honey Lager,4.7,0,American-Style Lager
791,Old Bridge Dark Lager,5.3,0,American-Style Lager
792,Premium Light Lager Beer,0.0,0,American-Style Lager
793,Old Seattle Lager,4.3,0,American-Style Lager
794,Clipper Gold Hefeweizen,5.2,0,American-Style Lager
795,Foster Child Australian Lager,4.0,0,American-Style Lager
796,Weisse,0.0,0,American-Style Lager
797,Weissbier,4.3,0,American-Style Lager
798,Wheat Beer,0.0,0,American-Style Lager
799,Hefe Weizen,4.6,0,American-Style Lager
800,Del Rio Lager,4.0,0,American-Style Lager
801,Blind Pig Dunkelweizen,4.7,0,American-Style Lager
802,Whistling Pig Hefeweizen,4.5,0,American-Style Lager
803,Krystal Weizen,4.9,0,American-Style Lager
804,Amber Weizen,5.5,0,American-Style Lager
805,Hefeweizen,5.2,0,American-Style Lager
806,Luna Weizen,4.5,0,American-Style Lager
807,Imperial Gold Malt Liquor,9.9,0,American-Style Lager
808,Smoked Rye Bock,0.0,0,American-Style Lager
809,Hefeweizen,0.0,0,American-Style Lager
810,Featherweight Lager,4.1,0,American-Style Lager
811,Summer Lager,0.0,0,American-Style Lager
812,Lager,0.0,0,American-Style Lager
813,Light Lager,3.5,0,American-Style Lager
814,Light Lager,0.0,0,American-Style Lager
815,Light Lager,0.0,0,American-Style Lager
816,Brau Light,0.0,0,American-Style Lager
817,Lighthouse Ale,4.4,0,American-Style Lager
818,Honey Pilsner,4.5,0,American-Style Lager
819,Cream Ale,0.0,0,American-Style Lager
820,Mojave Gold,0.0,0,American-Style Lager
821,Mojave Red,0.0,0,American-Style Lager
822,Dos Rios Vienna Lager,0.0,0,American-Style Lager
823,Rye On,4.8,0,American-Style Lager
824,Peat Smoked Altbier,0.0,0,American-Style Lager
825,Old Smoky,0.0,0,American-Style Lager
826,Pilsner,4.99,0,American-Style Lager
827,Smoked Porter,0.0,0,American-Style Lager
828,Tusker Premium Lager,0.0,0,American-Style Lager
829,Kabeelo Lodge Lager,0.0,0,American-Style Lager
830,Honey Brown,0.0,0,American-Style Lager
831,Premium Light Lager,4.5,0,American-Style Lager
832,Honey Ale,0.0,0,American-Style Lager
833,California Gold,4.5,0,American-Style Lager
834,Amber Lager,0.0,0,American-Style Lager
835,Thunder Storm,5.0,0,American-Style Lager
836,Whitetail Wheat,0.0,0,American-Style Lager
837,Roggenbier,5.5,0,American-Style Lager
838,Adler BrÃ¤u Eagle Lager,0.0,0,American-Style Lager
839,Dark Pilsener,5.5,0,American-Style Lager
840,Port Washington Pier 96 Lager,0.0,0,American-Style Lager
841,Roundhouse Rye,0.0,0,American-Style Lager
842,Edison Light Beer,0.0,0,American-Style Lager
843,Lizard Lager,0.0,0,American-Style Lager
844,Cream Ale,0.0,0,American-Style Lager
845,Caramel Rye,0.0,0,American-Style Lager
846,Red Lager,4.6,0,American-Style Lager
847,Augsburger Dark,0.0,0,American-Style Lager
848,Special Amber,5.0,0,American-Style Lager
849,Amber Lager,0.0,0,American-Style Lager
850,St.Pauli Girl Beer,0.0,0,American-Style Lager
851,SunRye,0.0,0,American-Style Lager
852,Red Stallion,0.0,0,American-Style Lager
853,Lager,0.0,0,American-Style Lager
854,Pale Ale,5.5,0,American-Style Lager
855,Stite Golden Pilsner,4.7,0,American-Style Lager
856,Lager,0.0,0,American-Style Lager
857,MÃ¼nchner Hell / Premium Lager,5.2,0,American-Style Lager
858,Rauchbier Weissbier,0.0,0,American-Style Lager
859,Michelob Hefeweizen,0.0,0,American-Style Lager
860,Pale Lager,0.0,0,American-Style Lager
861,Honey Weiss (discontinued),0.0,0,American-Style Lager
862,Alpine Glacier Lager,0.0,0,American-Style Lager
863,Original Dark,0.0,0,American-Style Lager
864,Beer,0.0,0,American-Style Lager
865,Light,0.0,0,American-Style Lager
866,Hefe Weiss,0.0,0,American-Style Lager
867,Green Beer,0.0,0,American-Style Lager
868,Three Sisters Golden Wheat,0.0,0,American-Style Lager
869,Harvest Wheat Beer,0.0,0,American-Style Lager
870,Honey Wheat,0.0,0,American-Style Lager
871,Golden Wheat Light,0.0,0,American-Style Lager
872,Dark Ale,0.0,0,American-Style Lager
873,Red Lager,0.0,0,American-Style Lager
874,Wheat,0.0,0,American-Style Lager
875,Landmark Light,0.0,0,American-Style Lager
876,Pilsner,0.0,0,American-Style Lager
877,Golden Lager,0.0,0,American-Style Lager
878,Hathor Red Lager,5.4,0,American-Style Lager
879,Aussie Lager,0.0,0,American-Style Lager
880,Wheat,0.0,0,American-Style Lager
881,Pilsner,4.5,0,American-Style Lager
882,Courthouse Copper,0.0,0,American-Style Lager
883,Canadian Light,0.0,0,American-Style Lager
884,Bartles and Lager,4.0,0,American-Style Lager
885,Royal Challenge Indian Premium Lager,0.0,0,American-Style Lager
886,Honey Wheat,0.0,0,American-Style Lager
887,North Star Premium Lager,0.0,0,American-Style Lager
888,Golden Honey Wheat,0.0,0,American-Style Lager
889,Victory Lager,0.0,0,American-Style Lager
890,Northern Light,0.0,0,American-Style Lager
891,Meridian Street Premium Lager,4.8,0,American-Style Lager
892,Aspen Meadow Black and Tan,0.0,0,American-Style Lager
893,Laughing Ass,0.0,0,American-Style Lager
894,Hawk Rye,0.0,0,American-Style Lager
895,Golden,0.0,0,American-Style Lager
896,Canadian Lager Beer,5.0,0,American-Style Lager
897,Canadian Ale,0.0,0,American-Style Lager
898,Fox Light,0.0,0,American-Style Lager
899,Calumet Wheat,0.0,0.0,American-Style Lager
900,BaderbrÃ¤u Pilsener,0.0,0.0,American-Style Lager
901,Original,4.6,0.0,American-Style Lager
902,Old Style,0.0,0.0,American-Style Lager
903,Berghoff Original Lager Beer,5.6,0.0,American-Style Lager
904,Shiner Kosmos Reserve,0.0,0.0,American-Style Lager
905,Balboa Cerveza Pilsner,0.0,0.0,American-Style Lager
906,Atlas Lager,3.75,0.0,American-Style Lager
907,Schlitz,0.0,0.0,American-Style Lager
908,Beer,0.0,0.0,American-Style Lager
909,Premium Lager,5.3,0.0,American-Style Lager
910,Space-Aged Lager,0.0,0.0,American-Style Lager
911,G.E. Lite,0.0,0.0,American-Style Lager
912,Heritage Wheat,0.0,0.0,American-Style Lager
913,Honey Wheat Ale,0.0,0.0,American-Style Lager
914,Wheat Honey Ale,0.0,0.0,American-Style Lager
915,Prairie Wheat Beer,0.0,0.0,American-Style Lager
916,Prohibition Smokehouse Porter,0.0,0.0,American-Style Lager
917,Haymarket Pilsner,0.0,0.0,American-Style Lager
918,Rye Stout,0.0,0.0,American-Style Lager
919,Pilsner,0.0,0.0,American-Style Lager
920,Red Top Rye,0.0,0.0,American-Style Lager
921,Mountain Wheat,0.0,0.0,American-Style Lager
922,Wheat Hook,0.0,0.0,American-Style Lager
923,Hefeweizen,0.0,0.0,American-Style Lager
924,Krystal,0.0,0.0,American-Style Lager
925,Special Export,0.0,0.0,American-Style Lager
926,Wheat,0.0,0.0,American-Style Lager
927,Noche Buena Special Holiday Amber Beer,0.0,0.0,American-Style Lager
928,Summer Wheat,0.0,0.0,American-Style Lager
929,Four Sheets Cream Ale,0.0,0.0,American-Style Lager
930,Amber Lager,0.0,0.0,American-Style Lager
931,Beer,0.0,0.0,American-Style Lager
932,Weisse Beer,0.0,0.0,American-Style Lager
933,Amber,0.0,0.0,American-Style Lager
934,Pecan Street Lager,0.0,0.0,American-Style Lager
935,Red Lager,0.0,0.0,American-Style Lager
936,Yellow Rose Cream Ale,0.0,0.0,American-Style Lager
937,Golden Wheat,0.0,0.0,American-Style Lager
938,Pilsner,0.0,0.0,American-Style Lager
939,Shiner Blonde,4.4,0.0,American-Style Lager
940,Honey Wheat,0.0,0.0,American-Style Lager
941,Lager,0.0,0.0,American-Style Lager
942,Sun Fest,0.0,0.0,American-Style Lager
943,Golden Bear Lager,0.0,0.0,American-Style Lager
944,High Rollers Wheat Beer,0.0,0.0,American-Style Lager
945,Pilsner,0.0,0.0,American-Style Lager
946,Faller Wheat,0.0,0.0,American-Style Lager
947,Polar Ale,0.0,0.0,American-Style Lager
948,Endless Summer Cream Ale,0.0,0.0,American-Style Lager
949,Amber Lager,0.0,0.0,American-Style Lager
950,HefeWeizen,0.0,0.0,American-Style Lager
951,Summer Brau,0.0,0.0,American-Style Lager
952,Sun Fest,0.0,0.0,American-Style Lager
953,Wheaten Ale,0.0,0.0,American-Style Lager
954,Honey Weizen,0.0,0.0,American-Style Lager
955,Copper Wheat,0.0,0.0,American-Style Lager
956,Honey Wheat,3.9,0.0,American-Style Lager
957,Weizen,0.0,0.0,American-Style Lager
958,Bohemia ClÃ¡sica,0.0,0.0,American-Style Lager
959,Port Royal Export,0.0,0.0,American-Style Lager
960,Lone Star,0.0,0.0,American-Style Lager
961,Cabro Extra,0.0,0.0,American-Style Lager
962,Carta Blanca,0.0,0.0,American-Style Lager
